Reference,Quantity,Manufacturer,Manufacturer Part Number,Description,Mounting
J1,1,Samtec,"HLE-105-02-L-DV-PE-BE",2x5 2.54 mm bottom-entry pass-through receptacle,Top / through-hole
J2,1,Samtec,"MTLW-106-06-G-D-035",2x6 2.54 mm variable-post header used in reverse,Bottom / through-hole
